USER           PID  PPID        VSZ    RSS WCHAN            ADDR S NAME                       
root             1     0   11004916  11416 ep_poll             0 S init
root             8     1   10963224  10332 poll_schedule_timeout.constprop.0 0 S init
root             9     1   10908056  10576 poll_schedule_timeout.constprop.0 0 S ueventd
prng_seeder     12     1   10834380   7688 futex_do_wait       0 S prng_seeder
logd            17     1   11074928   8012 sigsuspend          0 S logd
lmkd            18     1   10888196   4328 ep_poll             0 S lmkd
system          19     1   10935200   6108 ep_poll             0 S servicemanager
system          20     1   10910488   7304 ep_poll             0 S hwservicemanager
shell           31     1   10825232   3688 wait_woken          0 S sh
root            32     1   10948112  10088 binder_wait_for_work 0 S vold
system          37     1   10952880   5800 binder_wait_for_work 0 S android.system.suspend-service
keystore        38     1   11117412  19052 binder_wait_for_work 0 S keystore2
system          39     1   10951148   8212 binder_wait_for_work 0 S android.hardware.keymaster@4.1-service
tombstoned      44     1   10803160   3316 ep_poll             0 S tombstoned
system          85     1   10902656   4600 binder_wait_for_work 0 S android.hidl.allocator@1.0-service
audioserver     86     1      43364   8964 binder_wait_for_work 0 S android.hardware.audio.service
system          88     1   10954120   6552 binder_wait_for_work 0 S android.hardware.gatekeeper@1.0-service.software
system          89     1   10985336   5420 binder_wait_for_work 0 S android.hardware.graphics.allocator@2.0-service
system          92     1   10981952   8468 binder_wait_for_work 0 S android.hardware.graphics.composer@2.1-service
system          96     1   10799404   7084 ep_poll             0 S android.hardware.health-service.example
system          97     1   10942456   5460 binder_wait_for_work 0 S android.hardware.thermal@2.0-service.mock
media          100     1   10844824   6024 binder_wait_for_work 0 S android.hardware.cas-service.example
nobody         103     1   10830132   5712 binder_wait_for_work 0 S android.hardware.power-service.example
audioserver    104     1   11668008  33444 binder_wait_for_work 0 S audioserver
credstore      105     1   11032496  11204 binder_wait_for_work 0 S credstore
gpu_service    106     1   10928632   9524 binder_wait_for_work 0 S gpuservice
system         107     1   11891412  90972 ep_poll             0 S surfaceflinger
shell          144     1   11085128  12628 ep_poll             0 S adbd
nobody         149     1   10984776   4548 poll_schedule_timeout.constprop.0 0 S traced_probes
nobody         154     1   10890056   4620 poll_schedule_timeout.constprop.0 0 S traced
mdnsr          158     1   10783172   4036 poll_schedule_timeout.constprop.0 0 S mdnsd
root           160     1    1823940 160472 poll_schedule_timeout.constprop.0 0 S zygote
root           161     1   15241712 196620 poll_schedule_timeout.constprop.0 0 S zygote64
cameraserver   162     1   11478812  39384 binder_wait_for_work 0 S cameraserver
incidentd      175     1   10882600   6484 ep_poll             0 S incidentd
root           176     1   10891320   7264 binder_wait_for_work 0 S installd
mediaex        177     1   11807972  38732 binder_wait_for_work 0 S media.extractor
media          178     1   11179808   9960 binder_wait_for_work 0 S media.metrics
media          179     1     117368  24956 binder_wait_for_work 0 S mediaserver
root           180     1   11124920  13824 binder_wait_for_work 0 S netd
root           186     1   10944220   6588 binder_wait_for_work 0 S storaged
wifi           187     1   11038588   7944 ep_poll             0 S wificond
mediacodec     194     1      74296  15708 binder_wait_for_work 0 S media.codec
radio          197     1   10877452   9564 hrtimer_nanosleep   0 S rild
mediacodec     200     1   11370164  24516 binder_wait_for_work 0 S media.swcodec
statsd         202     1   11057104   8136 ep_poll             0 S statsd
system         208     1   10862816   7140 binder_wait_for_work 0 S gatekeeperd
system         239   161   19721508 389312 ep_poll             0 S system_server
u0_a65         663   161   17179012 262672 ep_poll             0 S com.android.systemui
u0_a76         665   161   15262276 129748 ep_poll             0 S com.android.permissioncontroller
network_stack  818   161   15218652 113664 ep_poll             0 S com.android.networkstack.process
webview_zygote 850   160    1762088  77072 poll_schedule_timeout.constprop.0 0 S webview_zygote
secure_element 879   161   15014188  96040 ep_poll             0 S com.android.se
radio          895   161   15324324 131920 ep_poll             0 S com.android.phone
u0_a61         928   161   15691724 206060 ep_poll             0 S com.android.launcher3
u0_a66        1045   161   14995388  94408 ep_poll             0 S com.android.smspush
u0_a82        1186   161   15049504  99540 ep_poll             0 S android.ext.services
system        1208   161   15237304 164948 ep_poll             0 S com.android.settings
shell         1283   144   10881896   4572 unix_stream_data_wait 0 S abb
u0_a79        1294   161   15416548 146716 ep_poll             0 S com.android.providers.media.module
u0_a41        1318   161   15031576  95256 ep_poll             0 S com.android.printspooler
u0_a24        1357   161   15550784 207352 ep_poll             0 S com.android.documentsui
u0_a17        1379   161   15032084 115872 ep_poll             0 S android.process.acore
system        1381   161   15036152  97076 ep_poll             0 S com.android.keychain
u0_a60        1451   161   15030680 108236 ep_poll             0 S com.android.provision
u0_a18        1467   161   15068508 107652 ep_poll             0 S android.process.media
u0_a84        1489   161   15091004 108128 ep_poll             0 S com.android.devicelockcontroller
u0_a25        1555   161   14966884  99388 ep_poll             0 S com.android.managedprovisioning
u0_a55        1595   161   14978272  94204 ep_poll             0 S com.android.quicksearchbox
u0_a21        1616   161   15012820  96688 ep_poll             0 S com.android.externalstorage
u0_a30        1632   161   15013388 101468 ep_poll             0 S com.android.providers.calendar
u0_a32        1666   161   14965964  97548 ep_poll             0 S com.android.traceur
system        1688   161   14995480  92480 ep_poll             0 S com.android.dynsystem
system        1711   161   14995528  94836 ep_poll             0 S com.android.dynsystem:dynsystem
u0_a26        1756   161   14963236  95136 ep_poll             0 S com.android.packageinstaller
u0_a74        1779   161   15104172 105040 ep_poll             0 S com.android.rkpdapp
shell         1798   161   14995840  93440 ep_poll             0 S com.android.shell
u0_a14        1822   161   15121724 104028 ep_poll             0 S com.android.statementservice
u0_a54        1849   161   15129160 120072 ep_poll             0 S com.android.inputmethod.latin
system        1928   161   15012836  94644 ep_poll             0 S com.android.localtransport
bluetooth     1948     1   10876440  12212 binder_wait_for_work 0 S android.hardware.bluetooth@1.1-service.sim
u0_a87        2036   161   16528196 257716 ep_poll             0 S io.twoyi.debug
u0_a87        2058  2036   10845168   4236 __skb_wait_for_more_packets 0 S logcat
u0_a87        2064  2036   10864148   3708 anon_pipe_read      0 S sh
u0_a79        2269   161   15055572 115948 ep_poll             0 S com.android.providers.media.module:PhotoPicker
u0_a87        2666  2036   12765544  13132 hrtimer_nanosleep   0 S libkr64.so
u0_a87        2697  2666   10813860   9012 unix_stream_data_wait 0 S init
u0_a87        2707  2697   10775768   9068 poll_schedule_timeout.constprop.0 0 S init
u0_a87        2725  2697   10794668   9268 poll_schedule_timeout.constprop.0 0 S ueventd
u0_a87        2739  2697   10877116   4920 sigsuspend          0 S logd
u0_a87        2740  2697   10772740   4536 ep_poll             0 S lmkd
u0_a87        2741  2697   10792796   6272 ep_poll             0 S servicemanager
u0_a87        2742  2697   10794240   7660 ep_poll             0 S hwservicemanager
u0_a87        2778  2697   10793740   6332 ptrace_stop.part.0  0 t android.system.suspend@1.0-service
u0_a87        2779  2697   10775248   6180 ptrace_stop.part.0  0 t android.hardware.atrace@1.0-service
u0_a87        2780  2697   10777588   8228 ptrace_stop.part.0  0 t android.hardware.keymaster@4.1-service
u0_a87        2831  2697   10772452   4660 sigsuspend          0 S createns
u0_a87        2887  2697   10828136   6824 ep_poll             0 S statsd
u0_a87        2897  2697   10774500   5560 ptrace_stop.part.0  0 t android.hidl.allocator@1.0-service
u0_a87        2907  2697   10775224   6192 ptrace_stop.part.0  0 t android.hardware.authsecret@1.0-service
u0_a87        2908  2697   10778728   9280 ptrace_stop.part.0  0 t android.hardware.bluetooth@1.1-service.sim
u0_a87        2912  2697   10775424   6472 ptrace_stop.part.0  0 t android.hardware.contexthub@1.1-service.mock
u0_a87        2922  2697   10794328   7872 ptrace_stop.part.0  0 t android.hardware.drm@1.0-service
u0_a87        2961  2697   10801068  10436 ptrace_stop.part.0  0 t android.hardware.graphics.allocator@3.0-service
u0_a87        2972  2697   10805244  15248 unix_stream_data_wait 0 S android.hardware.graphics.composer@2.3-service
u0_a87        3011  2697   10775328   6236 ptrace_stop.part.0  0 t android.hardware.power.stats@1.0-service.mock
u0_a87        3018  2697   10775432   6524 ptrace_stop.part.0  0 t android.hardware.thermal@2.0-service.mock
u0_a87        3034  2697   10775320   6092 ptrace_stop.part.0  0 t android.hardware.usb@1.0-service
u0_a87        3036  2697   10778916   9648 unix_stream_data_wait 0 S android.hardware.wifi@1.0-service
u0_a87        3038  2697   10778164   8868 unix_stream_data_wait 0 S android.hardware.identity-service.example
u0_a87        3047  2697   10774668   5808 unix_stream_data_wait 0 S android.hardware.lights-service.example
u0_a87        3050  2697   10774668   5756 unix_stream_data_wait 0 S android.hardware.power-service.example
u0_a87        3051  2697   10774804   5896 unix_stream_data_wait 0 S android.hardware.rebootescrow-service.default
u0_a87        3059  2697   10774708   5832 unix_stream_data_wait 0 S android.hardware.vibrator-service.example
u0_a87        3112  2697   10796436   9944 unix_stream_data_wait 0 S credstore
u0_a87        3113  2697   10794764   8184 unix_stream_data_wait 0 S gpuservice
u0_a87        3114  2697   10831160  23292 unix_stream_data_wait 0 S surfaceflinger
u0_a87        3116  2697   10771936   4108 ptrace_stop.part.0  0 t tombstoned
u0_a87        3373  2697   10847088   8152 ep_poll             0 S adbd
u0_a87        3376  2697   10790300   4848 poll_schedule_timeout.constprop.0 0 S traced_probes
u0_a87        3377  2697   10790300   4744 poll_schedule_timeout.constprop.0 0 S traced
u0_a87        3378  2697   10822276  32648 ptrace_stop.part.0  0 t cameraserver
u0_a87        3379  2697   10793660   7380 unix_stream_data_wait 0 S drmserver
u0_a87        3394  2697   10792020   5780 ptrace_stop.part.0  0 t idmap2d
u0_a87        3397  2697   10793244   7000 ep_poll             0 S incidentd
u0_a87        3407  2697   10785240  15112 ptrace_stop.part.0  0 t iorapd
u0_a87        3414  2697   10796940  10408 futex_do_wait       0 S keystore
u0_a87        3430  2697   10794544   8112 ptrace_stop.part.0  0 t media.metrics
u0_a87        3434  2697   10844964  34904 ptrace_stop.part.0  0 t mediaserver
u0_a87        3438  2697   10810864   7056 unix_stream_data_wait 0 S storaged
u0_a87        3449  2697   10797616  10084 ep_poll             0 S wificond
u0_a87        3591  2697    8668548    860 poll_schedule_timeout.constprop.0 0 S mdnsd
u0_a87        3592  2697   10779544   9004 unix_stream_data_wait 0 S gatekeeperd
u0_a87        3593  2697   10782664  11760 ep_poll             0 S update_engine
u0_a87        3604  2697   10775356   6112 unix_stream_data_wait 0 S android.hardware.biometrics.face@1.0-service.example
u0_a87        3606  2697   10792816   6328 unix_stream_data_wait 0 S android.hardware.biometrics.fingerprint@2.1-service
u0_a87        3834  2697   10776404   7312 unix_stream_data_wait 0 S android.hardware.gatekeeper@1.0-service.software
u0_a87        3889  2697   10793888   7176 ptrace_stop.part.0  0 t android.hardware.sensors@2.1-service.multihal
u0_a87        5326  2697   13055368 224736 ptrace_stop.part.0  0 t zygote64
u0_a87        5327  2697   10868680  27292 futex_do_wait       0 S audioserver
u0_a87        5328  2697   10828416   7016 unix_stream_data_wait 0 S installd
u0_a87        5329  2697          0      0 0                   0 Z [_system_bin_med]
u0_a87        5335  2697   10814164  10720 0                   0 R netd
